https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CFX,Volume USDT,tradecount
1676764800000,2023-02-19,CFXUSDT,0.1559,0.24,0.1468,0.2263,968642606.0,183894248.1343,515685
1676678400000,2023-02-18,CFXUSDT,0.1523,0.1693,0.1416,0.156,478222639.0,72894176.0092,222796
1676592000000,2023-02-17,CFXUSDT,0.1377,0.1772,0.1299,0.1523,900410277.0,137364637.9422,453538
1676505600000,2023-02-16,CFXUSDT,0.0926,0.155,0.0906,0.1376,1664402347.0,215228080.2984,651664
1676160000000,2023-02-12,CFXUSDT,0.0575,0.0588,0.0532,0.0543,41670943.0,2350122.5445,8316
1676073600000,2023-02-11,CFXUSDT,0.0569,0.059,0.055,0.0575,54063829.0,3076337.4933,8974
1675987200000,2023-02-10,CFXUSDT,0.0547,0.0599,0.0532,0.057,114251296.0,6426207.8827,19822
1675900800000,2023-02-09,CFXUSDT,0.0649,0.068,0.0529,0.0547,134279430.0,8165838.5292,27336
1675814400000,2023-02-08,CFXUSDT,0.0702,0.0718,0.0627,0.0649,101178497.0,6840462.4955,20371
1675728000000,2023-02-07,CFXUSDT,0.0639,0.0739,0.0633,0.0703,242153796.0,16609546.6982,46877
1675641600000,2023-02-06,CFXUSDT,0.0637,0.0742,0.0605,0.0639,240084190.0,16561033.9103,56467
1675555200000,2023-02-05,CFXUSDT,0.067,0.07,0.0602,0.0635,104759605.0,6810302.9231,22972
1675468800000,2023-02-04,CFXUSDT,0.0703,0.0724,0.0667,0.0669,104019762.0,7173110.0171,21051
1675382400000,2023-02-03,CFXUSDT,0.0763,0.0815,0.0664,0.0703,244707618.0,17554480.6733,58483
1675296000000,2023-02-02,CFXUSDT,0.0577,0.085,0.0575,0.0765,589953705.0,43101056.8014,155409
1675209600000,2023-02-01,CFXUSDT,0.0544,0.0594,0.0508,0.0577,139877894.0,7781544.2125,28933
1675123200000,2023-01-31,CFXUSDT,0.0547,0.0596,0.0526,0.0544,128687484.0,7117060.4488,26639
1675036800000,2023-01-30,CFXUSDT,0.0637,0.0694,0.0523,0.0549,179992174.0,10878728.9916,48876
1674950400000,2023-01-29,CFXUSDT,0.0636,0.0723,0.0606,0.0639,242473343.0,16087099.4599,67820
1674864000000,2023-01-28,CFXUSDT,0.0694,0.0747,0.0579,0.0636,279741522.0,18182056.8011,79488
1674777600000,2023-01-27,CFXUSDT,0.0608,0.0824,0.0545,0.0694,842496962.0,59789511.3188,225885
1674691200000,2023-01-26,CFXUSDT,0.0318,0.0726,0.0314,0.0607,1309031596.0,73148274.0907,267712
1674604800000,2023-01-25,CFXUSDT,0.0296,0.0345,0.0287,0.0317,134660899.0,4253460.3572,24117
1674518400000,2023-01-24,CFXUSDT,0.0291,0.0335,0.0288,0.0296,137547433.0,4250659.3193,24661
1674432000000,2023-01-23,CFXUSDT,0.0276,0.0294,0.0275,0.0291,44667963.0,1277708.3794,7329
1674345600000,2023-01-22,CFXUSDT,0.0269,0.0296,0.0269,0.0276,46168077.0,1304164.9203,7937
1674259200000,2023-01-21,CFXUSDT,0.0274,0.028,0.0269,0.0269,26963370.0,743197.4742,5975
1674172800000,2023-01-20,CFXUSDT,0.0263,0.0277,0.0255,0.0276,23766888.0,630410.8693,4324
1674086400000,2023-01-19,CFXUSDT,0.0256,0.0268,0.0256,0.0264,15274496.0,399490.0665,2812
1674000000000,2023-01-18,CFXUSDT,0.0272,0.028,0.0247,0.0257,34182055.0,900864.0047,6620
1673913600000,2023-01-17,CFXUSDT,0.0272,0.0285,0.0266,0.0272,31170372.0,859370.7399,4761
1673827200000,2023-01-16,CFXUSDT,0.0278,0.0295,0.0266,0.0272,66661193.0,1852987.4872,10149
1673740800000,2023-01-15,CFXUSDT,0.0276,0.0283,0.0264,0.0278,47845968.0,1312124.1189,6756
1673654400000,2023-01-14,CFXUSDT,0.0257,0.0285,0.0252,0.0275,80338622.0,2168749.59,12334
1673568000000,2023-01-13,CFXUSDT,0.0247,0.026,0.0242,0.0256,23169248.0,581271.8347,3741
1673481600000,2023-01-12,CFXUSDT,0.0246,0.025,0.0236,0.0246,30056935.0,732748.1673,4428
1673395200000,2023-01-11,CFXUSDT,0.0241,0.0248,0.0235,0.0245,24736519.0,596876.9673,4127
1673308800000,2023-01-10,CFXUSDT,0.0239,0.0247,0.0235,0.0242,24922305.0,598827.2676,3706
1673222400000,2023-01-09,CFXUSDT,0.0234,0.0247,0.0233,0.0238,44970792.0,1078017.289,7029
1673136000000,2023-01-08,CFXUSDT,0.0228,0.0239,0.0225,0.0235,27587376.0,639051.7328,3339
1673049600000,2023-01-07,CFXUSDT,0.0228,0.0231,0.0226,0.0229,10612883.0,242709.8319,1262
1672963200000,2023-01-06,CFXUSDT,0.0228,0.023,0.022,0.0229,12176342.0,273928.2584,1823
1672876800000,2023-01-05,CFXUSDT,0.0229,0.0231,0.0224,0.0229,9339290.0,212300.1511,1416
1672790400000,2023-01-04,CFXUSDT,0.0224,0.0231,0.0224,0.0228,14106808.0,321843.3132,2225
1672704000000,2023-01-03,CFXUSDT,0.0225,0.0232,0.0222,0.0225,12764192.0,288773.4352,2238
1672617600000,2023-01-02,CFXUSDT,0.0221,0.024,0.0219,0.0225,24107323.0,550023.3263,3611
1672531200000,2023-01-01,CFXUSDT,0.022,0.0223,0.0217,0.0221,9560628.0,210163.5749,1332
1672444800000,2022-12-31,CFXUSDT,0.0222,0.0225,0.0219,0.0219,6453887.0,143514.371,1033
1672358400000,2022-12-30,CFXUSDT,0.0224,0.0225,0.0217,0.0221,12177388.0,268830.478,1654
1672272000000,2022-12-29,CFXUSDT,0.0233,0.0235,0.0215,0.0225,31395439.0,711682.7246,3951
1672185600000,2022-12-28,CFXUSDT,0.0247,0.0259,0.0226,0.0232,69059252.0,1673638.5471,13284
1672099200000,2022-12-27,CFXUSDT,0.0229,0.0288,0.0223,0.0247,151550195.0,3875268.4708,28772
1672012800000,2022-12-26,CFXUSDT,0.0226,0.023,0.0225,0.0229,8446216.0,192769.1238,1244
1671926400000,2022-12-25,CFXUSDT,0.0233,0.0233,0.0224,0.0227,7209315.0,163843.8085,1026
1671840000000,2022-12-24,CFXUSDT,0.0231,0.0244,0.0229,0.0232,16540434.0,388305.3084,3180
1671753600000,2022-12-23,CFXUSDT,0.0229,0.0232,0.0227,0.0231,5039707.0,115675.4809,1016
1671667200000,2022-12-22,CFXUSDT,0.023,0.0231,0.0222,0.023,4878306.0,110693.4381,1100
1671580800000,2022-12-21,CFXUSDT,0.0235,0.0235,0.0225,0.0231,6214006.0,142932.4891,1367
1671494400000,2022-12-20,CFXUSDT,0.0223,0.0238,0.0223,0.0236,9461939.0,221179.7215,1595
1671408000000,2022-12-19,CFXUSDT,0.0236,0.0238,0.022,0.0222,9998670.0,230634.132,1905
1671321600000,2022-12-18,CFXUSDT,0.0239,0.0241,0.0232,0.0235,7057566.0,166603.7571,2061
1671235200000,2022-12-17,CFXUSDT,0.0235,0.0243,0.0229,0.0239,18526310.0,434998.4709,3923
1671148800000,2022-12-16,CFXUSDT,0.0263,0.0271,0.0233,0.0234,20164848.0,511045.0584,4685
1671062400000,2022-12-15,CFXUSDT,0.0263,0.0289,0.026,0.0262,29869016.0,812896.198,6171
